Year,Region,Total Population,Male Population,Female Population,Aboriginal population proportion (%),Population aged 0-4 years,Population aged 5-9 years,Population aged 15-19 years,Population aged 20-24 years,Population aged 25-29 years,Population aged 30-34 years,Population aged 35-39 years,Population aged 40-44 years,Population aged 45-49 years,Population aged 50-54 years,Population aged 55-59 years,Population aged 60-64 years,Population aged 65-69 years,Population aged 70-74 years,Population aged 75-79 years,Population aged 80-84 years,Population aged 85+ years,Age specific birth rate per 1000 women aged 15-44 years,Age specific birth rate per 1000 women aged 15-19 years,Low birth weight (%),Still birth (%),Fertility rate,"Total potentially preventable hospitalisations (PPH) (ASR per 100,000)","PPH - Vaccine preventable conditions (ASR per 100,000)","PPH - Acute conditions (ASR per 100,000)","PPH - Chronic conditions (ASR per 100,000)","Total injury hospitalisations (ASR per 100,000)","Transport accident hospitalisations (ASR per 100,000)","Accidental fall hospitalisations (ASR per 100,000)","Exposure to mechanical force hospitalisations (ASR per 100,000)","Accidental poisoning hospitalisations (ASR per 100,000)","Intentional self-harm hospitalisations (ASR per 100,000)","Assault hospitalisations (ASR per 100,000)","Adverse effects due to drugs and other substance hospitalisations (ASR per 100,000)","Abnormal reaction following procedure hospitalisations (ASR per 100,000)","Breast cancer incidence (female) (ASR per 100,000)","Lung cancer incidence (ASR per 100,000)","Prostate cancer incidence (male) (ASR per 100,000)","Colorectal cancer incidence (ASR per 100,000)","Melanoma incidence (ASR per 100,000)",Currently smokes (%),Consumes two or more serves of  fruit daily (%),Consumes 5 or more serves of vegetables daily (%),Alcohol long term harm (%),Alcohol short term harm (%),Completes at least 150 minutes of physical activity over 5 sessions (18 years and over) (%),Overweight (%),Obese (%)
2010,North Metro,648503,320999,327504,1.25,42792,41671,45349,50287,49009,44189,48138,47915,47161,43313,38122,32848,23994,18208,14192,11000,10224,59.95,9.2,6.73,0.7,1.83,2134.9,49.8,1081,1004,3954.4,258.8,935.8,366.3,61.3,180.8,109.5,498.2,942.5,128.2,42.6,169.5,62.9,43,11.4,57.8,12.5,37.9,17.8,65.2,41.1,23.5
2010,South Metro,552514,274155,278359,1.85,35589,36192,39202,41663,38176,35433,39038,39584,39846,37202,32873,29722,22676,17903,13908,10670,8820,60.55,14.72,5.75,0.6,1.89,2172,44.3,1062.4,1065.3,3834.6,286.9,807.1,362.8,60.5,157.9,110.9,487.5,979.4,122.8,46.7,184.9,55.8,43,13.7,56.1,13.8,34.1,13,66.5,39.5,24.9
2010,Goldfields,58470,30830,27640,11.51,4778,4177,3943,4550,5001,4518,4732,4471,4453,3810,3037,2356,1649,1106,732,482,383,72.95,34.75,6.98,1.5,2.19,3274.2,77.6,1254.5,1942.1,4548.1,411.5,965.5,486.3,71.6,207.2,295.3,476.7,961.3,100.2,44.4,117.5,62.7,47,19.3,51,9.4,39,18.1,50.8,44.3,33
2010,Great Southern,56711,28165,28546,4.46,3841,4239,3577,2898,2753,3185,3551,3998,4254,4184,3888,3518,2767,2283,1715,1277,1021,72.95,22.58,6.03,0.7,2.4,2615.8,60.6,1136.7,1418.5,4012.2,391.3,759.7,501.2,49.8,210,199.4,497.8,824.1,106.5,31.2,160.3,55.8,49.6,13,60.5,12.6,29.5,15,62.5,37.4,33.2
2010,Kimberley,36227,19059,17168,46.39,3251,2637,2264,3201,3630,3049,3031,2665,2435,2263,1853,1206,727,413,237,165,114,71.63,82.35,9.31,1.2,2.36,5456.7,202.9,2802.8,2451,8305.2,698.7,1611.4,1083.2,93.4,300.9,1659.7,478.9,1242.4,0,0,187.7,0,0,22.9,43.8,13,58.1,28,63.4,33.9,31.9
2010,Midwest,63980,32845,31135,13.03,4578,4702,4074,3803,4000,3958,4702,4652,4792,4693,4120,3561,2703,2029,1447,994,673,78.53,38.33,7.26,0.3,2.43,3359.2,69.9,1606.2,1683.1,4937.5,414.9,957.9,600.1,48.6,166.7,381.3,563,1132.5,150.5,59.6,148.6,58.4,41.7,19.6,55.4,13.1,39.3,16.5,58.3,43,27.3
2010,Pilbara,58912,35476,23436,16.7,4643,3199,3142,5115,7097,6120,6101,5231,4747,4087,2800,1534,633,317,144,69,63,76.33,37.98,5.66,1.1,1.85,3600.1,148.9,1652.4,1798.8,5154.8,555.4,1045.9,602.4,74.9,206.1,564.6,336.3,1010.1,0,0,0,0,61.5,23.7,42.2,12.6,56.3,28.3,55.6,39,28.9
2010,South West,156186,77734,78452,2.62,10800,11352,10423,8485,8969,9622,11284,11459,11707,11359,10109,9153,6756,5142,3727,2878,2253,66.06,19.49,4.61,0.4,2.22,2414.1,45.3,1010.8,1358,4325.2,413.1,858.3,438.9,81.9,187.3,121.2,463.9,1132,117.2,42.1,169,62.4,67.7,15.8,55.3,14.8,41,18.9,61.4,42.2,27
2010,Wheatbelt,75540,38894,36646,5.57,5102,5121,4251,3665,4011,4048,4882,5487,5705,5928,5533,5196,3897,2987,2039,1369,1091,68.55,26.3,5.08,0.31,2.45,2759.76,54.97,1359.69,1345.1,5045.02,615.19,1084.77,568.08,66.68,199.02,202.46,463.29,1064.33,92.05,48.05,223.88,71.27,50.51,18.2,54,17.3,35.8,18,59.2,43.5,33.9
2010,Western Australia,2290845,1154064,1136781,3.8,153515,147604,154002,173307,174904,158816,169250,166452,165317,153918,136195,119270,87121,66627,50369,38192,32934,63.21,17.9,6.49,0.7,1.92,2428,56,1158,1214,4215,331,904,423,67,180,180,497,1013,122,45,170,60,45,14.9,55.6,13.2,37.4,16.3,63.5,39.7,26.6
